Index,Class
0,6
1,14
2,8
3,8
4,4
5,10
6,13
7,17
8,9
9,9
10,5
11,5
12,3
13,8
14,10
15,5
16,7
17,5
18,2
19,5
20,11
21,9
22,8
23,9
24,15
25,11
26,16
27,15
28,13
29,9
30,9
31,11
32,2
33,7
34,5
35,8
36,16
37,10
38,12
39,12
40,17
41,9
42,9
43,7
44,9
45,11
46,12
47,9
48,9
49,3
50,6
51,12
52,9
53,10
54,3
55,9
56,8
57,11
58,3
59,11
60,10
61,8
62,13
63,14
64,5
65,10
66,10
67,18
68,2
69,4
70,13
71,12
72,13
73,10
74,10
75,11
76,7
77,3
78,12
79,10
80,15
81,5
82,2
83,18
84,8
85,2
86,5
87,15
88,9
89,16
90,13
91,8
92,9
93,2
94,11
95,4
96,4
97,3
98,9
99,13
100,9
101,16
102,4
103,10
104,12
105,13
106,18
107,15
108,7
109,10
110,3
111,8
112,8
113,14
114,9
115,3
116,8
117,11
118,11
119,9
120,3
121,2
122,9
123,8
124,9
125,13
126,9
127,6
128,6
129,7
130,10
131,7
132,13
133,9
134,9
135,13
136,15
137,11
138,2
139,8
140,4
141,0
142,12
143,18
144,10
145,3
146,12
147,12
148,18
149,18
150,9
151,10
152,3
153,10
154,10
155,6
156,6
157,3
158,8
159,12
160,11
161,11
162,5
163,8
164,12
165,9
166,2
167,10
168,11
169,6
170,4
171,8
172,8
173,12
174,3
175,12
176,5
177,9
178,8
179,10
180,6
181,7
182,13
183,9
184,4
185,9
186,2
187,14
188,10
189,12
190,15
191,13
192,10
193,8
194,4
195,6
196,14
197,17
198,10
199,4
200,10
201,8
202,13
203,14
204,9
205,12
206,15
207,10
208,12
209,10
210,0
211,7
212,8
213,3
214,15
215,15
216,6
217,8
218,2
219,9
220,6
221,9
222,10
223,14
224,10
225,5
226,16
227,7
228,15
229,9
230,15
231,5
232,8
233,15
234,0
235,8
236,5
237,13
238,5
239,0
240,0
241,11
242,8
243,10
244,7
245,16
246,5
247,3
248,14
249,10
250,7
251,7
252,4
253,4
254,11
255,8
256,9
257,11
258,10
259,5
260,10
261,1
262,2
263,9
264,5
265,1
266,6
267,12
268,13
269,10
270,12
271,3
272,10
273,1
274,7
275,10
276,5
277,2
278,5
279,6
280,14
281,12
282,0
283,8
284,14
285,6
286,8
287,11
288,7
289,1
290,2
291,17
292,12
293,13
294,11
295,10
296,10
297,6
298,7
299,10
300,7
301,10
302,9
303,10
304,10
305,13
306,8
307,14
308,4
309,16
310,5
311,10
312,9
313,13
314,12
315,15
316,12
317,9
318,7
319,12
320,4
321,2
322,8
323,13
324,15
325,8
326,13
327,10
328,10
329,9
330,2
331,8
332,2
333,10
334,10
335,12
336,5
337,11
338,13
339,15
340,8
341,11
342,10
343,6
344,16
345,11
346,9
347,17
348,9
349,10
350,9
351,9
352,6
353,13
354,9
355,9
356,8
357,6
358,10
359,16
360,9
361,5
362,1
363,15
364,2
365,3
366,11
367,6
368,2
369,6
370,13
371,13
372,10
373,8
374,6
375,8
376,6
377,13
378,5
379,7
380,8
381,1
382,8
383,16
384,11
385,0
386,10
387,9
388,8
389,14
390,11
391,18
392,9
393,11
394,8
395,3
396,3
397,2
398,9
399,1
400,16
401,5
402,13
403,8
404,8
405,2
406,15
407,3
408,10
409,6
410,10
411,15
412,3
413,5
414,1
415,7
416,7
417,6
418,9
419,8
420,2
421,13
422,10
423,6
424,7
425,14
426,8
427,17
428,3
429,10
430,10
431,0
432,10
433,9
434,6
435,9
436,16
437,5
438,1
439,8
440,10
441,9
442,11
443,10
444,12
445,17
446,10
447,2
448,11
449,7
450,4
451,5
452,12
453,9
454,12
455,16
456,14
457,13
458,3
459,1
460,6
461,14
462,10
463,7
464,8
465,6
466,7
467,12
468,17
469,9
470,13
471,10
472,8
473,10
474,8
475,18
476,10
477,8
478,17
479,7
480,12
481,6
482,6
483,8
484,16
485,7
486,6
487,9
488,9
489,5
490,9
491,2
492,17
493,5
494,7
495,17
496,8
497,11
498,8
499,11
500,12
501,10
502,10
503,6
504,9
505,11
506,8
507,16
508,8
509,5
510,14
511,8
512,6
513,3
514,14
515,18
516,10
517,12
518,15
519,8
520,10
521,12
522,6
523,1
524,9
525,2
526,3
527,11
528,2
529,2
530,17
531,3
532,5
533,8
534,10
535,16
536,11
537,15
538,12
539,11
540,4
541,10
542,14
543,1
544,11
545,4
546,10
547,4
548,11
549,9
550,3
551,18
552,15
553,7
554,13
555,8
556,10
557,11
558,3
559,10
560,9
561,11
562,9
563,9
564,17
565,8
566,3
567,10
568,8
569,10
570,4
571,13
572,10
573,10
574,9
575,8
576,8
577,14
578,12
579,10
580,16
581,7
582,9
583,6
584,14
585,7
586,7
587,7
588,13
589,13
590,1
591,13
592,7
593,12
594,8
595,8
596,14
597,14
598,14
599,3
600,14
601,13
602,9
603,18
604,6
605,9
606,2
607,16
608,1
609,16
610,9
611,12
612,4
613,9
614,5
615,3
616,9
617,6
618,8
619,12
620,3
621,7
622,12
623,16
624,13
625,7
626,8
627,7
628,8
629,7
630,3
631,12
632,9
633,10
634,5
635,7
636,7
637,7
638,10
639,8
640,12
641,2
642,8
643,5
644,4
645,7
646,11
647,14
648,10
649,5
650,16
651,10
652,2
653,7
654,8
655,12
656,5
657,14
658,0
659,12
660,7
661,9
662,14
663,7
664,10
665,10
666,12
667,4
668,12
669,4
670,14
671,9
672,4
673,12
674,7
675,9
676,2
677,5
678,8
679,16
680,2
681,12
682,9
683,11
684,10
685,16
686,13
687,9
688,13
689,1
690,10
691,9
692,6
693,13
694,4
695,7
696,6
697,14
698,11
699,16
700,12
701,9
702,16
703,6
704,5
705,10
706,9
707,2
708,8
709,6
710,0
711,10
712,13
713,10
714,10
715,10
716,11
717,13
718,7
719,4
720,12
721,3
722,16
723,2
724,16
725,12
726,15
727,3
728,8
729,12
730,3
731,8
732,8
733,8
734,12
735,10
736,8
737,12
738,11
739,8
740,2
741,15
742,7
743,3
744,9
745,9
746,12
747,13
748,1
749,15
750,11
751,8
752,13
753,15
754,16
755,8
756,12
757,7
758,5
759,7
760,8
761,14
762,9
763,9
764,9
765,8
766,12
767,13
768,2
769,10
770,9
771,7
772,2
773,12
774,15
775,8
776,12
777,13
778,16
779,5
780,17
781,6
782,10
783,5
784,3
785,5
786,10
787,7
788,4
789,13
790,15
791,6
792,10
793,7
794,9
795,9
796,9
797,15
798,6
799,14
800,9
801,2
802,18
803,7
804,14
805,13
806,10
807,13
808,9
809,9
810,6
811,12
812,3
813,8
814,14
815,4
816,7
817,3
818,10
819,11
820,8
821,8
822,18
823,14
824,9
825,7
826,10
827,12
828,5
829,8
830,13
831,9
832,8
833,16
834,4
835,8
836,10
837,2
838,4
839,9
840,12
841,13
842,7
843,2
844,10
845,7
846,4
847,17
848,1
849,5
850,12
851,13
852,9
853,9
854,5
855,13
856,3
857,2
858,7
859,10
860,8
861,9
862,13
863,10
864,17
865,9
866,8
867,17
868,12
869,10
870,5
871,10
872,13
873,10
874,16
875,8
876,10
877,4
878,11
879,9
880,3
881,8
882,2
883,8
884,5
885,2
886,2
887,9
888,13
889,2
890,13
891,2
892,6
893,8
894,8
895,15
896,16
897,13
898,16
899,9
900,12
901,12
902,8
903,5
904,7
905,6
906,13
907,12
908,14
909,2
910,14
911,4
912,8
913,3
914,10
915,10
916,13
917,17
918,4
919,12
920,9
921,9
922,7
923,10
924,2
925,10
926,11
927,11
928,8
929,10
930,2
931,10
932,15
933,3
934,2
935,10
936,3
937,11
938,10
939,0
940,6
941,10
942,10
943,11
944,3
945,9
946,9
947,10
948,5
949,6
950,4
951,10
952,16
953,8
954,15
955,10
956,6
957,10
958,14
959,6
960,9
961,11
962,17
963,12
964,10
965,16
966,9
967,10
968,10
969,15
970,4
971,5
972,9
973,12
974,7
975,7
976,9
977,13
978,8
979,12
980,12
981,17
982,10
983,0
984,3
985,10
986,8
987,9
988,8
989,10
990,13
991,11
992,2
993,11
994,9
995,8
996,11
997,7
998,10
999,8
1000,8
1001,6
1002,7
1003,11
1004,9
1005,4
1006,8
1007,4
1008,6
1009,7
1010,9
1011,10
1012,12
1013,10
1014,16
1015,10
1016,13
1017,12
1018,13
1019,6
1020,8
1021,5
1022,9
1023,12
1024,11
1025,12
1026,8
1027,13
1028,13
1029,3
1030,2
1031,3
1032,10
1033,8
1034,7
1035,9
1036,6
1037,4
1038,8
1039,3
1040,9
1041,14
1042,15
1043,5
1044,8
1045,10
1046,6
1047,13
1048,17
1049,1
1050,12
1051,8
1052,8
1053,1
1054,10
1055,9
1056,6
1057,10
1058,11
1059,16
1060,6
1061,3
1062,6
1063,12
1064,9
1065,3
1066,18
1067,1
1068,10
1069,13
1070,2
1071,6
1072,13
1073,3
1074,9
1075,12
1076,4
1077,8
1078,12
1079,11
1080,14
1081,17
1082,7
1083,13
1084,6
1085,8
1086,6
1087,1
1088,10
1089,10
1090,3
1091,17
1092,8
1093,10
1094,16
1095,13
1096,4
1097,8
1098,15
1099,10
1100,6
1101,12
1102,5
1103,12
1104,14
1105,17
1106,8
1107,13
1108,12
1109,9
1110,10
1111,6
1112,6
1113,16
1114,4
1115,1
1116,8
1117,7
1118,9
1119,10
1120,3
1121,2
1122,10
1123,6
1124,13
1125,6
1126,8
1127,3
1128,9
1129,7
1130,2
1131,15
1132,3
1133,9
1134,2
1135,2
1136,2
1137,16
1138,3
1139,13
1140,3
1141,2
1142,9
1143,4
1144,11
1145,9
1146,7
1147,11
1148,5
1149,13
1150,6
1151,9
1152,6
1153,16
1154,13
1155,14
1156,12
1157,7
1158,8
1159,1
1160,4
1161,9
1162,12
1163,12
1164,13
1165,16
1166,8
1167,3
1168,9
1169,12
1170,5
1171,13
1172,11
1173,10
1174,8
1175,16
1176,9
1177,10
1178,8
1179,4
1180,3
1181,8
1182,10
1183,9
1184,12
1185,7
1186,12
1187,9
1188,5
1189,13
1190,11
1191,10
1192,12
1193,4
1194,13
1195,6
1196,2
1197,13
1198,12
1199,11
1200,2
1201,17
1202,17
1203,5
1204,5
1205,8
1206,18
1207,16
1208,8
1209,12
1210,7
1211,9
1212,3
1213,13
1214,8
1215,8
1216,9
1217,2
1218,7
1219,12
1220,10
1221,14
1222,6
1223,15
1224,5
1225,4
1226,4
1227,6
1228,10
1229,3
1230,8
1231,12
1232,2
1233,6
1234,13
1235,6
1236,7
1237,10
1238,10
1239,5
1240,9
1241,10
1242,4
1243,7
1244,6
1245,1
1246,13
1247,5
1248,3
1249,2
1250,10
1251,7
1252,10
1253,9
1254,11
1255,11
1256,13
1257,11
1258,7
1259,3
1260,14
1261,0
1262,9
1263,7
1264,8
1265,9
1266,10
1267,11
1268,10
1269,9
1270,16
1271,10
1272,9
1273,10
1274,11
1275,6
1276,12
1277,11
1278,12
1279,0
1280,14
1281,14
1282,1
1283,0
1284,16
1285,0
1286,10
1287,10
1288,6
1289,5
1290,11
1291,16
1292,11
1293,15
1294,5
1295,3
1296,13
1297,9
1298,16
1299,16
1300,12
1301,11
1302,12
1303,6
1304,9
1305,1
1306,13
1307,6
1308,8
1309,12
1310,8
1311,9
1312,0
1313,9
1314,7
1315,1
1316,0
1317,9
1318,10
1319,15
1320,3
1321,6
1322,4
1323,13
1324,9
1325,16
1326,12
1327,15
1328,0
1329,4
1330,12
1331,16
1332,12
1333,6
1334,8
1335,4
1336,10
1337,4
1338,12
1339,11
1340,9
1341,6
1342,3
1343,7
1344,13
1345,9
1346,3
1347,4
1348,10
1349,2
1350,16
1351,11
1352,7
1353,8
1354,15
1355,1
1356,6
1357,16
1358,11
1359,13
1360,14
1361,16
1362,12
1363,2
1364,9
1365,5
1366,3
1367,7
1368,2
1369,7
1370,10
1371,10
1372,10
1373,4
1374,4
1375,13
1376,9
1377,3
1378,14
1379,11
1380,12
1381,10
1382,6
1383,13
1384,15
1385,3
1386,0
1387,11
1388,8
1389,5
1390,2
1391,7
1392,16
1393,16
1394,10
1395,15
1396,6
1397,16
1398,2
1399,8
1400,8
1401,9
1402,8
1403,17
1404,9
1405,6
1406,12
1407,10
1408,8
1409,6
1410,6
1411,2
1412,2
1413,12
1414,13
1415,6
1416,10
1417,15
1418,7
1419,3
1420,3
1421,6
1422,7
1423,10
1424,16
1425,11
1426,9
1427,10
1428,15
1429,8
1430,12
1431,1
1432,9
1433,11
1434,9
1435,12
1436,2
1437,8
1438,7
1439,2
1440,16
1441,9
1442,6
1443,14
1444,9
1445,8
1446,11
1447,9
1448,2
1449,9
1450,3
1451,5
1452,4
1453,4
1454,11
1455,2
1456,14
1457,7
1458,7
1459,10
1460,3
1461,7
1462,3
1463,10
1464,7
1465,11
1466,6
1467,11
1468,12
1469,16
1470,15
1471,11
1472,13
1473,13
1474,9
1475,7
1476,6
1477,10
1478,6
1479,12
1480,15
1481,7
1482,5
1483,8
1484,3
1485,7
1486,13
1487,9
