Index,Class
0,10
1,7
2,9
3,7
4,5
5,6
6,13
7,12
8,9
9,9
10,4
11,6
12,4
13,8
14,9
15,5
16,8
17,4
18,6
19,4
20,12
21,11
22,7
23,6
24,14
25,7
26,16
27,10
28,14
29,10
30,10
31,11
32,2
33,8
34,7
35,11
36,16
37,11
38,12
39,10
40,13
41,8
42,8
43,7
44,9
45,11
46,7
47,7
48,10
49,6
50,11
51,10
52,9
53,8
54,4
55,10
56,7
57,11
58,4
59,6
60,8
61,8
62,13
63,11
64,5
65,4
66,6
67,18
68,3
69,9
70,13
71,12
72,12
73,14
74,11
75,11
76,9
77,4
78,12
79,5
80,15
81,10
82,8
83,9
84,8
85,2
86,2
87,7
88,9
89,16
90,13
91,9
92,13
93,8
94,11
95,10
96,5
97,4
98,10
99,9
100,9
101,15
102,4
103,8
104,6
105,9
106,12
107,7
108,7
109,10
110,3
111,8
112,4
113,11
114,9
115,7
116,8
117,9
118,12
119,11
120,3
121,1
122,1
123,10
124,7
125,13
126,5
127,10
128,2
129,9
130,3
131,8
132,13
133,11
134,10
135,10
136,13
137,12
138,2
139,5
140,4
141,6
142,12
143,16
144,11
145,2
146,12
147,13
148,18
149,13
150,4
151,8
152,4
153,10
154,10
155,10
156,4
157,2
158,7
159,10
160,8
161,9
162,5
163,8
164,12
165,11
166,3
167,4
168,11
169,5
170,8
171,14
172,12
173,10
174,9
175,15
176,8
177,10
178,15
179,7
180,8
181,9
182,10
183,4
184,0
185,9
186,3
187,10
188,8
189,15
190,10
191,9
192,6
193,9
194,10
195,4
196,11
197,17
198,8
199,5
200,14
201,7
202,13
203,11
204,7
205,11
206,15
207,9
208,9
209,7
210,0
211,9
212,8
213,3
214,14
215,13
216,6
217,4
218,4
219,8
220,12
221,7
222,10
223,15
224,10
225,4
226,16
227,7
228,13
229,11
230,15
231,4
232,10
233,13
234,0
235,8
236,8
237,12
238,2
239,0
240,0
241,9
242,7
243,5
244,13
245,17
246,6
247,3
248,9
249,9
250,12
251,9
252,11
253,4
254,6
255,5
256,4
257,7
258,12
259,6
260,9
261,1
262,9
263,8
264,9
265,1
266,12
267,13
268,13
269,10
270,9
271,2
272,10
273,3
274,10
275,12
276,4
277,2
278,5
279,9
280,14
281,9
282,0
283,14
284,10
285,8
286,7
287,11
288,8
289,1
290,3
291,8
292,9
293,13
294,12
295,11
296,9
297,9
298,7
299,17
300,5
301,5
302,6
303,10
304,4
305,14
306,8
307,11
308,5
309,17
310,10
311,10
312,9
313,16
314,11
315,14
316,7
317,10
318,8
319,8
320,4
321,3
322,5
323,10
324,13
325,9
326,14
327,12
328,4
329,3
330,2
331,12
332,3
333,11
334,10
335,9
336,7
337,9
338,11
339,10
340,10
341,11
342,10
343,8
344,15
345,8
346,6
347,12
348,9
349,10
350,9
351,13
352,11
353,14
354,5
355,11
356,8
357,3
358,11
359,14
360,10
361,8
362,1
363,15
364,1
365,3
366,12
367,7
368,3
369,14
370,9
371,10
372,10
373,8
374,9
375,5
376,10
377,11
378,6
379,9
380,8
381,2
382,3
383,15
384,8
385,0
386,10
387,11
388,12
389,16
390,4
391,13
392,11
393,8
394,11
395,5
396,4
397,3
398,9
399,5
400,11
401,6
402,15
403,9
404,10
405,4
406,11
407,3
408,12
409,3
410,5
411,15
412,2
413,5
414,1
415,12
416,7
417,11
418,6
419,7
420,7
421,12
422,9
423,12
424,7
425,15
426,8
427,9
428,5
429,11
430,8
431,0
432,11
433,5
434,6
435,9
436,15
437,3
438,3
439,12
440,8
441,7
442,13
443,10
444,17
445,9
446,10
447,3
448,11
449,6
450,3
451,6
452,12
453,11
454,15
455,15
456,14
457,11
458,5
459,2
460,5
461,13
462,13
463,15
464,9
465,4
466,9
467,10
468,10
469,10
470,8
471,6
472,2
473,10
474,5
475,12
476,9
477,7
478,17
479,9
480,7
481,6
482,6
483,10
484,16
485,8
486,8
487,10
488,9
489,12
490,9
491,2
492,13
493,5
494,6
495,13
496,7
497,12
498,9
499,10
500,8
501,12
502,7
503,8
504,12
505,7
506,8
507,17
508,10
509,6
510,9
511,9
512,9
513,6
514,8
515,9
516,10
517,12
518,12
519,5
520,10
521,11
522,8
523,2
524,10
525,2
526,4
527,11
528,3
529,3
530,11
531,4
532,6
533,8
534,10
535,12
536,11
537,15
538,4
539,8
540,1
541,10
542,10
543,1
544,11
545,4
546,9
547,4
548,6
549,10
550,3
551,10
552,13
553,1
554,10
555,9
556,3
557,8
558,10
559,10
560,6
561,10
562,7
563,8
